WORD 	P+ 	P-
second		0.000892060660125 	0.000843170320405
cost		0.000892060660125 	0.000421585160202
design		0.00312221231044 	0.00126475548061
shirts		0.000892060660125 	0.000843170320405
corner		0.000446030330062 	0.00126475548061
odd		0.000446030330062 	0.000843170320405
casual		0.00223015165031 	0.000421585160202
stressful		0.000892060660125 	0.000421585160202
sub		0.000446030330062 	0.000843170320405
giving		0.000446030330062 	0.000843170320405
fingers		0.000446030330062 	0.000843170320405
pleased		0.00133809099019 	0.000843170320405
version		0.000892060660125 	0.000421585160202
goes		0.000892060660125 	0.000421585160202
new		0.000446030330062 	0.000843170320405
ever		0.00223015165031 	0.00295109612142
revealing		0.000892060660125 	0.000421585160202
full		0.000892060660125 	0.000421585160202
leg		0.000892060660125 	0.000421585160202
never		0.000446030330062 	0.00168634064081
hours		0.000446030330062 	0.000843170320405
china		0.000446030330062 	0.000843170320405
ubuntu		0.000446030330062 	0.000843170320405
quite		0.000892060660125 	0.000421585160202
wait		0.000892060660125 	0.000421585160202
box		0.000892060660125 	0.000421585160202
bt		0.000446030330062 	0.000843170320405
great		0.014272970562 	0.00210792580101
kids		0.00178412132025 	0.00126475548061
daughter		0.00178412132025 	0.000843170320405
colored		0.000446030330062 	0.000843170320405
noticeable		0.000892060660125 	0.000421585160202
jams		0.000446030330062 	0.000843170320405
receive		0.000446030330062 	0.000843170320405
larger		0.000446030330062 	0.000843170320405
experience		0.00178412132025 	0.000843170320405
bulges		0.000892060660125 	0.000421585160202
products		0.000892060660125 	0.00168634064081
suggestion		0.000892060660125 	0.000421585160202
mindblowing		0.00133809099019 	0.000421585160202
action		0.000446030330062 	0.000843170320405
surely		0.000892060660125 	0.000421585160202
weird		0.000446030330062 	0.000843170320405
narrow		0.00133809099019 	0.000843170320405
makes		0.000446030330062 	0.000843170320405
honor		0.000446030330062 	0.000843170320405
fell		0.000892060660125 	0.000421585160202
plotted		0.000892060660125 	0.000421585160202
golden		0.00178412132025 	0.000421585160202
fantastic		0.00178412132025 	0.000421585160202
killer		0.000446030330062 	0.000843170320405
love		0.00624442462087 	0.000421585160202
os		0.000446030330062 	0.000843170320405
awear		0.000446030330062 	0.000843170320405
app		0.000446030330062 	0.000843170320405
marked		0.000446030330062 	0.000843170320405
highly		0.00178412132025 	0.000421585160202
brought		0.000892060660125 	0.000421585160202
visible		0.000892060660125 	0.000421585160202
moral		0.000446030330062 	0.000843170320405
texture		0.000892060660125 	0.000843170320405
motor		0.000446030330062 	0.000843170320405
fake		0.000446030330062 	0.00210792580101
total		0.000446030330062 	0.00210792580101
unit		0.000892060660125 	0.000421585160202
narayan		0.000892060660125 	0.000421585160202
crap		0.000446030330062 	0.00210792580101
working		0.000446030330062 	0.00252951096121
positive		0.000892060660125 	0.000421585160202
sweater		0.000446030330062 	0.000843170320405
arms		0.000446030330062 	0.00126475548061
duplicate		0.000446030330062 	0.00252951096121
camera		0.000446030330062 	0.000843170320405
wonderfully		0.000892060660125 	0.000421585160202
wondering		0.000446030330062 	0.000843170320405
recommend		0.00267618198037 	0.000843170320405
proportions		0.000446030330062 	0.000843170320405
more		0.000446030330062 	0.00126475548061
attractive		0.000892060660125 	0.000843170320405
pretty		0.00401427297056 	0.00168634064081
materiel		0.000892060660125 	0.000421585160202
under		0.000446030330062 	0.000843170320405
impress		0.000446030330062 	0.000843170320405
hurt		0.000446030330062 	0.000843170320405
long		0.000892060660125 	0.00210792580101
stick		0.000892060660125 	0.000421585160202
excellent		0.00579839429081 	0.000421585160202
baby		0.000892060660125 	0.000421585160202
ok		0.00178412132025 	0.00252951096121
hole		0.000446030330062 	0.000843170320405
aligned		0.000446030330062 	0.000843170320405
outdated		0.000446030330062 	0.00126475548061
must		0.00223015165031 	0.000421585160202
customer		0.000446030330062 	0.00168634064081
fooling		0.000446030330062 	0.000843170320405
word		0.000892060660125 	0.000421585160202
language		0.000892060660125 	0.000421585160202
science		0.000446030330062 	0.000843170320405
getting		0.000446030330062 	0.000843170320405
sucks		0.000446030330062 	0.00168634064081
worn		0.00133809099019 	0.000421585160202
worth		0.00535236396075 	0.00168634064081
horseshit		0.000446030330062 	0.000843170320405
archer		0.000446030330062 	0.000843170320405
thin		0.000446030330062 	0.00168634064081
meet		0.000446030330062 	0.000843170320405
didnt		0.000446030330062 	0.000843170320405
beautiful		0.0035682426405 	0.000843170320405
claim		0.000446030330062 	0.000843170320405
crazy		0.000446030330062 	0.000843170320405
bent		0.000446030330062 	0.000843170320405
figure		0.000446030330062 	0.00126475548061
lock		0.000446030330062 	0.000843170320405
awesome		0.00624442462087 	0.000843170320405
lightweight		0.00133809099019 	0.000421585160202
terrible		0.000446030330062 	0.00210792580101
high		0.000446030330062 	0.00295109612142
slit		0.000446030330062 	0.000843170320405
minimum		0.000446030330062 	0.000843170320405
something		0.000892060660125 	0.000843170320405
purchased		0.000892060660125 	0.00126475548061
every		0.000892060660125 	0.000843170320405
honest		0.000892060660125 	0.000421585160202
dress		0.00535236396075 	0.00126475548061
worse		0.000446030330062 	0.00126475548061
sis		0.000892060660125 	0.000421585160202
huge		0.000446030330062 	0.00210792580101
needs		0.000892060660125 	0.000421585160202
end		0.000446030330062 	0.000843170320405
awkward		0.000446030330062 	0.000843170320405
thing		0.000892060660125 	0.000421585160202
clothing		0.000892060660125 	0.000421585160202
comfort		0.00133809099019 	0.000421585160202
feature		0.000446030330062 	0.000843170320405
everyday		0.000892060660125 	0.000421585160202
write		0.000446030330062 	0.00126475548061
till		0.000892060660125 	0.000421585160202
amazing		0.0035682426405 	0.000843170320405
nyc		0.000892060660125 	0.000421585160202
faulty		0.000446030330062 	0.00210792580101
upto		0.000446030330062 	0.00210792580101
badly		0.000446030330062 	0.000843170320405
product		0.0165031222123 	0.0172849915683
designer		0.00133809099019 	0.000421585160202
frilly		0.000892060660125 	0.000421585160202
description		0.000446030330062 	0.00126475548061
freezing		0.000446030330062 	0.000843170320405
fallwinter		0.000892060660125 	0.000421585160202
damaged		0.000446030330062 	0.00252951096121
collection		0.00312221231044 	0.000421585160202
stripes		0.000446030330062 	0.00126475548061
catalog		0.000446030330062 	0.000843170320405
stars		0.00133809099019 	0.000843170320405
designed		0.000446030330062 	0.000843170320405
coming		0.000446030330062 	0.000843170320405
date		0.00133809099019 	0.000421585160202
such		0.000892060660125 	0.000421585160202
truly		0.00133809099019 	0.000421585160202
shockingly		0.000446030330062 	0.000843170320405
purchase		0.00133809099019 	0.00252951096121
short		0.000446030330062 	0.000843170320405
natural		0.000892060660125 	0.000421585160202
defective		0.000446030330062 	0.00168634064081
effective		0.000892060660125 	0.000421585160202
maybe		0.000446030330062 	0.00168634064081
optimised		0.000446030330062 	0.000843170320405
life		0.000446030330062 	0.00126475548061
amazon		0.00312221231044 	0.000843170320405
